"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"māñjiṣṭha-hāridre"	"conj"	"Nom"	"ADJ"	"vārkṣam"	"ADJ"	"māñjiṣṭhahāridra itarayoḥ //"	"GautDhS, 1, 1, 22"	"Gautamadharmasūtra"	2259	"ADJ"	"ADJ"	"māñjiṣṭha"	"hāridra"	"compound"	"coord"	"endo"	78428	109087	2744009	2744010	"5-SU"	"SV"	"None"	"DhS"	"prose"
"niṣkevalya-marutvatīyayoḥ"	"nmod"	"Gen"	"ADJ"	"sūktāni"	"NOUN"	"yāni pāñcamāhnikāni niṣkevalyamarutvatīyayoḥ sūktāni tāni pūrvāṇi śastvā aikāhikayor nividau dadhāti //"	"ŚāṅkhŚS, 16, 8, 5"	"Śāṅkhāyanaśrautasūtra"	7402	"ADJ"	"ADJ"	"niṣkevalya"	"marutvatīya"	"compound"	"coord"	"endo"	221308	37034	5313200	5313201	"5-SU"	"RV"	"Śāṅkhāyana"	"ŚS"	"prose"
"niṣkevalya-marutvatīye"	"root"	"Acc"	"ADJ"			"so 'ntareṇa niṣkevalyamarutvatīye /"	"ŚāṅkhŚS, 15, 2, 15"	"Śāṅkhāyanaśrautasūtra"	7363	"ADJ"	"ADJ"	"niṣkevalya"	"marutvatīya"	"compound"	"coord"	"endo"	221308	37034	5304154	5304155	"5-SU"	"RV"	"Śāṅkhāyana"	"ŚS"	"prose"
"prācīna-pravaṇe"	"acl"	"Loc"	"ADJ"	"deśe"	"NOUN"	"prācīnapravaṇa udīcīnapravaṇe prāgudakpravaṇe same vā deśa uddhatyāvokṣya //"	"HirGS, 1, 1, 9"	"Hiraṇyakeśigṛhyasūtra"	784	"ADJ"	"ADJ"	"prācīna"	"pravaṇa"	"advmod"	"attrib"	"endo"	156072	155540	5062177	5062178	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"prāc-udak"	"acl"	"Acc"	"ADJ"	"pravaṇam"	"NOUN"	"athāto 'gniṃ praṇeṣyan prāgudak pravaṇam abhyukṣya sthaṇḍilaṃ lakṣaṇaṃ kuryānmadhye //"	"JaimGS, 1, 1, 1"	"Jaiminigṛhyasūtra"	576	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	1234405	1234406	"5-SU"	"SV"	"Jaiminīya"	"GS"	"prose"
"prāc-udīcīḥ"	"acl"	"Nom"	"ADJ"	"āpaḥ"	"NOUN"	"navaṃ navāvasānaṃ samaṃ samūlaṃ samavasrāvaṃ samavasrutya vā yasmāt prāgudīcīr āpo nirdraveyuḥ pratyagudīcīr vā tasmin prāgdvāraṃ dakṣiṇadvāraṃ vā śaraṇaṃ kārayet //"	"KāṭhGS, 11, 1"	"Kāṭhakagṛhyasūtra"	1845	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5359304	5359305	"5-SU"	"Black YV"	"Kaṭha"	"GS"	"prose"
"prāc-udañcam"	"acl"	"Acc"	"ADJ"	"lakṣaṇam"	"NOUN"	"prāgudañcaṃ lakṣaṇam uddhatyāvokṣya sthaṇḍilaṃ gomayenopalipya maṇḍalaṃ caturasraṃ vāgniṃ nirmathyābhimukhaṃ praṇayet //"	"MānGS, 2, 2, 1"	"Mānavagṛhyasūtra"	1745	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5318910	5318911	"5-SU"	"Black YV"	"Maitrāyaṇa"	"GS"	"prose"
"prāc-udīcyām"	"acl"	"Loc"	"ADJ"	"diśi"	"NOUN"	"prāgudīcyāṃ diśi grāmasyāsakāśe niśi gavāṃ madhye taṣṭo yūpaḥ //"	"MānGS, 2, 5, 2"	"Mānavagṛhyasūtra"	1780	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5208311	5208312	"5-SU"	"Black YV"	"Maitrāyaṇa"	"GS"	"prose"
"prāc-udīcyām"	"acl"	"Loc"	"ADJ"	"diśi"	"NOUN"	"prāgudīcyāṃ diśi tāḥ stheyāḥ pradakṣiṇā bhavanti //"	"ŚāṅkhGS, 1, 13, 9"	"Śāṅkhāyanagṛhyasūtra"	1550	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5021830	5021831	"5-SU"	"RV"	"Śāṅkhāyana"	"GS"	"prose"
"prāc-udīcyām"	"acl"	"Loc"	"ADJ"	"diśi"	"NOUN"	"prāgudīcyāṃ diśi sapta padāni prakramayati //"	"ŚāṅkhGS, 1, 14, 5"	"Śāṅkhāyanagṛhyasūtra"	1554	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5022323	5022324	"5-SU"	"RV"	"Śāṅkhāyana"	"GS"	"prose"
"prāc-udīcyām"	"conj"	"Loc"	"ADJ"	"udīcyām"	"ADJ"	"brahmayajñena yakṣyamāṇaḥ prācyāṃ diśi grāmād acchadirdarśa udīcyāṃ prāgudīcyāṃ vodita āditye dakṣiṇata upaviśya hastāv avanijya trir ācāmed dviḥ parimṛjya sakṛd upaspṛśya śiraś cakṣuṣī nāsike śrotre hṛdayam ālabhya //"	"TĀ, 2, 11, 1"	"Taittirīyāraṇyaka"	7269	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5284061	5284062	"4-PL"	"Black YV"	"Taittirīya"	"Ā"	"prose"
"prāc-udīcīm"	"obj"	"Acc"	"ADJ"	"abhyutkrāmayanti"	"VERB"	"śūrpeṇa śeṣam agnāv opya prāgudīcīm abhyutkrāmayanty ekam iṣa iti //"	"GobhGS, 2, 2, 11"	"Gobhilagṛhyasūtra"	371	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	5178825	5178826	"5-SU"	"SV"	"Kauthuma"	"GS"	"prose"
"prāc-udīcīm"	"obj"	"Acc"	"ADJ"	"utkramayet"	"VERB"	"śūrpeṇa śiṣṭān agnāv opya prāgudīcīm utkramayet ekam iṣa iti //"	"KhādGS, 1, 3, 26"	"Khādiragṛhyasūtra"	884	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	2774130	2774131	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"prāc-udīcīm"	"obl"	"Acc"	"ADJ"	"udvahet"	"VERB"	"prāgudīcīm udvahet //"	"KhādGS, 1, 4, 1"	"Khādiragṛhyasūtra"	887	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	2774182	2774183	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"prāc-udīcīm"	"orphan"	"Acc"	"ADJ"	"uttarām"	"ADJ"	"tūṣṇīṃ prāgudīcīmuttarām //"	"KhādGS, 1, 5, 14"	"Khādiragṛhyasūtra"	904	"ADJ"	"ADJ"	"prāñc"	"udañc"	"compound"	"coord"	"endo"	166382	166381	4994990	4994991	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
